cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
cd4_BL,2.0,SDAN_34,Spectra_39,2000,2966,952,20,3,0.8900597119775202,0.09638888888888889,20,20,2.0,0.994,0.5732802598482423,0.5863095238095237
cd4_BL,2.0,SDAN_3,Spectra_3,2000,2966,952,22,17,0.8899024850581944,0.18365235889557766,22,6,0.5454545454545454,0.577,0.3273447030025977,0.22916666666666666
cd4_BL,2.0,SDAN_30,Spectra_1,2000,2966,952,20,3,0.8644186863364945,0.016681694550086,20,6,0.6,0.688,0.5699402421990142,0.6994047619047619
cd4_BL,2.0,SDAN_33,Spectra_3,2000,2966,952,19,6,0.8437279774489077,0.06154294476882905,19,6,0.631578947368421,0.739,0.4995116911783578,0.5892857142857143
cd4_BL,2.0,SDAN_19,Spectra_14,2000,2966,952,20,9,0.8328031106398021,0.08942407754240764,20,0,0.0,0.0,0.4856256053624475,0.4375
cd4_BL,2.0,SDAN_22,Spectra_8,2000,2966,952,20,2,0.8273684210526315,0.009895586141433318,20,10,1.0,0.882,0.5310346868460903,0.6547619047619048
cd4_BL,2.0,SDAN_23,Spectra_38,2000,2966,952,20,6,0.8243481324876674,0.07513677970478538,20,6,0.6,0.67,0.5555689165886535,0.6577380952380952
cd4_BL,2.0,SDAN_11,Spectra_17,2000,2966,952,22,10,0.8101910828025479,0.1557894286784712,22,4,0.36363636363636365,0.422,0.4578065582451547,0.47023809523809523
cd4_BL,2.0,SDAN_38,Spectra_15,2000,2966,952,20,5,0.7873284054910243,0.03562119616344027,20,0,0.0,0.0,0.48490662980794563,0.5595238095238095
cd4_BL,2.0,SDAN_28,Spectra_14,2000,2966,952,21,10,0.7837579617834395,0.03304009007478643,21,6,0.5714285714285714,0.657,0.45522432013660086,0.27976190476190477
cd4_BL,2.0,SDAN_13,Spectra_15,2000,2966,952,20,5,0.7833157338965153,0.026407839486145,20,14,1.4,0.961,0.5619022024723779,0.7023809523809523
cd4_BL,2.0,SDAN_12,Spectra_15,2000,2966,952,20,11,0.7806975171481016,0.14716650417834584,20,6,0.6,0.677,0.42098852817054566,0.39583333333333337
cd4_BL,2.0,SDAN_20,Spectra_23,2000,2966,952,20,11,0.7613757124915468,0.027762562621235193,20,12,1.2,0.937,0.4395719732890786,0.45535714285714285
cd4_BL,2.0,SDAN_17,Spectra_1,2000,2966,952,20,5,0.7497360084477297,0.04980312462181922,20,0,0.0,0.0,0.5072082752455559,0.6220238095238095
cd4_BL,2.0,SDAN_15,Spectra_16,2000,2966,952,22,18,0.7494646680942184,0.04966106840417103,22,10,0.9090909090909091,0.842,0.4312448117820925,0.4613095238095238
cd4_BL,2.0,SDAN_29,Spectra_17,2000,2966,952,20,3,0.7463997190024587,0.029527970325516337,20,12,1.2,0.927,0.5152899483491589,0.5922619047619048
cd4_BL,2.0,SDAN_37,Spectra_3,2000,2966,952,21,21,0.7381719605135286,0.04736897913826772,21,0,0.0,0.0,0.3632910153743487,0.30357142857142855
cd4_BL,2.0,SDAN_16,Spectra_3,2000,2966,952,21,19,0.7356010605291363,0.06063882166516381,21,2,0.19047619047619047,0.2,0.365718075531672,0.31845238095238093
cd4_BL,2.0,SDAN_36,Spectra_39,2000,2966,952,20,16,0.7320379273504273,0.03832216016771159,20,0,0.0,0.0,0.4343763635430302,0.375
