gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
ENSG00000000003,False,TSPAN6,NCBITaxon:9606,gene,76,0.00235,99.81,94.0
ENSG00000000005,False,TNMD,NCBITaxon:9606,gene,1,2.5e-05,99.99749999999999,1.0
ENSG00000000419,False,DPM1,NCBITaxon:9606,gene,7171,0.2356,82.0725,9424.0
ENSG00000000457,False,SCYL3,NCBITaxon:9606,gene,5778,0.19085,85.555,7634.0
ENSG00000000460,False,C1orf112,NCBITaxon:9606,gene,7626,0.2829,80.935,11316.0
ENSG00000000938,False,FGR,NCBITaxon:9606,gene,5278,0.19685,86.80499999999999,7874.0
ENSG00000000971,False,CFH,NCBITaxon:9606,gene,308,0.014325,99.22999999999999,573.0
ENSG00000001036,False,FUCA2,NCBITaxon:9606,gene,5749,0.177225,85.6275,7089.0
ENSG00000001084,False,GCLC,NCBITaxon:9606,gene,7362,0.302475,81.595,12099.0
ENSG00000001167,False,NFYA,NCBITaxon:9606,gene,5806,0.201775,85.485,8071.0
ENSG00000001460,False,STPG1,NCBITaxon:9606,gene,2336,0.0745,94.16,2980.0
ENSG00000001461,False,NIPAL3,NCBITaxon:9606,gene,6838,0.2593,82.905,10372.0
ENSG00000001497,False,LAS1L,NCBITaxon:9606,gene,3639,0.10115,90.9025,4046.0
ENSG00000001561,False,ENPP4,NCBITaxon:9606,gene,3258,0.09975,91.855,3990.0
ENSG00000001617,False,SEMA3F,NCBITaxon:9606,gene,110,0.003325,99.725,133.0
ENSG00000001626,False,CFTR,NCBITaxon:9606,gene,2875,0.08875,92.8125,3550.0
ENSG00000001629,False,ANKIB1,NCBITaxon:9606,gene,21072,1.187175,47.31999999999999,47487.0
ENSG00000001630,False,CYP51A1,NCBITaxon:9606,gene,3278,0.10095,91.805,4038.0
ENSG00000001631,False,KRIT1,NCBITaxon:9606,gene,14137,0.562625,64.6575,22505.0
ENSG00000002016,False,RAD52,NCBITaxon:9606,gene,7925,0.255025,80.1875,10201.0
ENSG00000002330,False,BAD,NCBITaxon:9606,gene,1148,0.030625,97.13000000000001,1225.0
ENSG00000002549,False,LAP3,NCBITaxon:9606,gene,15763,0.786275,60.5925,31451.0
ENSG00000002586,False,CD99,NCBITaxon:9606,gene,14037,0.568675,64.90750000000001,22747.0
ENSG00000002587,False,HS3ST1,NCBITaxon:9606,gene,3040,0.10115,92.4,4046.0
ENSG00000002726,False,AOC1,NCBITaxon:9606,gene,189,0.00535,99.5275,214.0
ENSG00000002745,False,WNT16,NCBITaxon:9606,gene,82,0.0022,99.795,88.0
ENSG00000002746,False,HECW1,NCBITaxon:9606,gene,7982,0.262025,80.045,10481.0
ENSG00000002822,False,MAD1L1,NCBITaxon:9606,gene,19524,0.939825,51.190000000000005,37593.0
ENSG00000002834,False,LASP1,NCBITaxon:9606,gene,11803,0.41935,70.4925,16774.0
ENSG00000002919,False,SNX11,NCBITaxon:9606,gene,3959,0.113825,90.10249999999999,4553.0
ENSG00000002933,False,TMEM176A,NCBITaxon:9606,gene,2060,0.057925,94.85,2317.0
ENSG00000003056,False,M6PR,NCBITaxon:9606,gene,10831,0.36595,72.9225,14638.0
ENSG00000003096,False,KLHL13,NCBITaxon:9606,gene,646,0.020675,98.385,827.0
ENSG00000003137,False,CYP26B1,NCBITaxon:9606,gene,109,0.002775,99.7275,111.0
ENSG00000003147,False,ICA1,NCBITaxon:9606,gene,8355,0.35145,79.1125,14058.0
ENSG00000003249,False,DBNDD1,NCBITaxon:9606,gene,255,0.0066,99.3625,264.0
ENSG00000003393,False,ALS2,NCBITaxon:9606,gene,7271,0.25315,81.82249999999999,10126.0
ENSG00000003400,False,CASP10,NCBITaxon:9606,gene,10120,0.371725,74.7,14869.0
ENSG00000003402,False,CFLAR,NCBITaxon:9606,gene,26744,1.738825,33.14,69553.0
ENSG00000003436,False,TFPI,NCBITaxon:9606,gene,115,0.0048,99.7125,192.0
ENSG00000003509,False,NDUFAF7,NCBITaxon:9606,gene,4824,0.146175,87.94,5847.0
ENSG00000003756,False,RBM5,NCBITaxon:9606,gene,18438,0.76665,53.905,30666.0
ENSG00000003987,False,MTMR7,NCBITaxon:9606,gene,2484,0.070275,93.78999999999999,2811.0
ENSG00000003989,False,SLC7A2,NCBITaxon:9606,gene,676,0.021575,98.31,863.0
ENSG00000004059,False,ARF5,NCBITaxon:9606,gene,1757,0.0462,95.6075,1848.0
ENSG00000004139,False,SARM1,NCBITaxon:9606,gene,5693,0.175325,85.7675,7013.0
ENSG00000004142,False,POLDIP2,NCBITaxon:9606,gene,2375,0.0646,94.0625,2584.0
ENSG00000004399,False,PLXND1,NCBITaxon:9606,gene,15263,0.629975,61.8425,25199.0
ENSG00000004455,False,AK2,NCBITaxon:9606,gene,8892,0.293275,77.77000000000001,11731.0
ENSG00000004468,False,CD38,NCBITaxon:9606,gene,474,0.0246,98.815,984.0
ENSG00000004478,False,FKBP4,NCBITaxon:9606,gene,3893,0.11645,90.2675,4658.0
ENSG00000004487,False,KDM1A,NCBITaxon:9606,gene,9923,0.36715,75.1925,14686.0
ENSG00000004534,False,RBM6,NCBITaxon:9606,gene,31622,2.558625,20.945000000000004,102345.0
ENSG00000004660,False,CAMKK1,NCBITaxon:9606,gene,7621,0.24785,80.94749999999999,9914.0
ENSG00000004700,False,RECQL,NCBITaxon:9606,gene,6963,0.230125,82.5925,9205.0
ENSG00000004766,False,VPS50,NCBITaxon:9606,gene,17494,0.886975,56.265,35479.0
ENSG00000004776,False,HSPB6,NCBITaxon:9606,gene,38,0.001025,99.905,41.0
ENSG00000004777,False,ARHGAP33,NCBITaxon:9606,gene,1357,0.035825,96.6075,1433.0
ENSG00000004779,False,NDUFAB1,NCBITaxon:9606,gene,3380,0.095325,91.55,3813.0
ENSG00000004799,False,PDK4,NCBITaxon:9606,gene,12074,1.0156,69.815,40624.0
ENSG00000004809,False,SLC22A16,NCBITaxon:9606,gene,392,0.0112,99.02,448.0
ENSG00000004838,False,ZMYND10,NCBITaxon:9606,gene,394,0.01115,99.015,446.0
ENSG00000004846,False,ABCB5,NCBITaxon:9606,gene,179,0.004775,99.5525,191.0
ENSG00000004848,False,ARX,NCBITaxon:9606,gene,311,0.0086,99.2225,344.0
ENSG00000004864,False,SLC25A13,NCBITaxon:9606,gene,23355,1.46665,41.6125,58666.0
