gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,pval_without_sv,pval_with_sv,pval_rd_only
ENSG00000000419,FALSE,DPM1,NCBITaxon:9606,gene,7171,0.2356,82.0725,9424,0.68478594916126,0.275520866196888,0.779468252633436
ENSG00000000457,FALSE,SCYL3,NCBITaxon:9606,gene,5778,0.19085,85.555,7634,0.357881209410116,0.721347706904144,0.428019454933924
ENSG00000000460,FALSE,C1orf112,NCBITaxon:9606,gene,7626,0.2829,80.935,11316,0.000213224148901798,0.00290382015485273,0.000125147584315374
ENSG00000000938,FALSE,FGR,NCBITaxon:9606,gene,5278,0.19685,86.805,7874,0.0036132097841947,0.00559728029433439,0.00300522987773843
ENSG00000001036,FALSE,FUCA2,NCBITaxon:9606,gene,5749,0.177225,85.6275,7089,0.0673071887197862,0.217948825764979,0.0825371935276549
ENSG00000001084,FALSE,GCLC,NCBITaxon:9606,gene,7362,0.302475,81.595,12099,0.0113079071377968,0.107066361374581,0.00179775588103306
ENSG00000001167,FALSE,NFYA,NCBITaxon:9606,gene,5806,0.201775,85.485,8071,0.12890407527141,0.0400238255508531,0.0550665581298859
ENSG00000001460,FALSE,STPG1,NCBITaxon:9606,gene,2336,0.0745,94.16,2980,0.576555298759523,0.541928271333215,0.798359209318102
ENSG00000001461,FALSE,NIPAL3,NCBITaxon:9606,gene,6838,0.2593,82.905,10372,0.131983001007102,0.256687437785296,0.0712585364218361
ENSG00000001497,FALSE,LAS1L,NCBITaxon:9606,gene,3639,0.10115,90.9025,4046,0.11287078113508,0.414396020818563,0.123196624565106
ENSG00000001561,FALSE,ENPP4,NCBITaxon:9606,gene,3258,0.09975,91.855,3990,0.197615758681037,0.542247656546457,0.332998142574461
ENSG00000001626,FALSE,CFTR,NCBITaxon:9606,gene,2875,0.08875,92.8125,3550,0.0364635245844078,0.0165208065773245,0.0346310436782897
ENSG00000001629,FALSE,ANKIB1,NCBITaxon:9606,gene,21072,1.187175,47.32,47487,0.639838064692986,0.886204057973217,0.25253628763999
ENSG00000001630,FALSE,CYP51A1,NCBITaxon:9606,gene,3278,0.10095,91.805,4038,0.796968544140257,0.598002053821091,0.77347847266007
ENSG00000001631,FALSE,KRIT1,NCBITaxon:9606,gene,14137,0.562625,64.6575,22505,0.971093619788095,0.28409267229098,0.75830922367562
