gene	n_cell_per_gene	prct_zero	expression_mean
TSPAN6	10	0.0015748031496063	0.0079984251968504
DPM1	920	0.14488188976378	1.08402677165354
SCYL3	416	0.0655118110236221	0.364677165354331
C1orf112	462	0.072755905511811	0.318666141732284
FGR	385	0.0606299212598425	0.415798425196851
CFH	59	0.00929133858267716	0.0489496062992126
FUCA2	406	0.0639370078740158	0.419552755905512
GCLC	289	0.0455118110236221	0.255077165354331
NFYA	754	0.118740157480315	0.642773228346457
STPG1	245	0.0385826771653543	0.157911811023622
NIPAL3	1523	0.239842519685039	1.46603149606299
LAS1L	797	0.125511811023622	0.843177952755906
ENPP4	344	0.0541732283464567	0.31687874015748
SEMA3F	7	0.00110236220472441	0.00309133858267717
CFTR	18	0.00283464566929134	0.00728976377952756
ANKIB1	907	0.142834645669291	0.807872440944882
CYP51A1	1504	0.236850393700787	1.30628188976378
KRIT1	711	0.111968503937008	0.708990551181102
RAD52	774	0.121889763779528	0.679211023622047
MYH16	19	0.00299212598425197	0.00985511811023622
BAD	770	0.121259842519685	0.952544881889765
LAP3	1800	0.283464566929134	2.12083779527559
CD99	4614	0.726614173228346	5.46008661417323
HS3ST1	38	0.00598425196850394	0.0137937007874016
AOC1	9	0.00141732283464567	0.00394173228346457
WNT16	37	0.00582677165354331	0.0229826771653543
HECW1	31	0.00488188976377953	0.0139669291338583
MAD1L1	1156	0.182047244094488	1.45238582677165
LASP1	3070	0.483464566929134	3.34763937007874
SNX11	590	0.0929133858267716	0.624042519685039
TMEM176A	20	0.0031496062992126	0.0114125984251969
M6PR	2478	0.390236220472441	3.16155905511811
KLHL13	7	0.00110236220472441	0.00317637795275591
CYP26B1	9	0.00141732283464567	0.0016503937007874
ICA1	147	0.0231496062992126	0.152784251968504
DBNDD1	30	0.0047244094488189	0.0213023622047244
ALS2	350	0.0551181102362205	0.314272440944882
CASP10	453	0.0713385826771654	0.35800157480315
CFLAR	4667	0.73496062992126	5.17740629921259
TFPI	177	0.0278740157480315	0.0221952755905512
NDUFAF7	479	0.0754330708661417	0.524836220472441
RBM5	2949	0.464409448818898	3.51925669291338
MTMR7	81	0.012755905511811	0.0604803149606299
SLC7A2	16	0.00251968503937008	0.00281732283464567
ARF5	2364	0.372283464566929	3.07868346456693
SARM1	387	0.0609448818897638	0.349366929133858
POLDIP2	932	0.146771653543307	0.95584094488189
PLXND1	421	0.0662992125984252	0.436620472440945
AK2	1611	0.253700787401575	1.87095118110236
CD38	2303	0.362677165354331	2.70345354330708
FKBP4	955	0.150393700787402	1.09723464566929
KDM1A	414	0.0651968503937008	0.32192125984252
RBM6	4187	0.659370078740158	5.18450551181101
CAMKK1	73	0.011496062992126	0.0486929133858268
RECQL	1262	0.198740157480315	1.28497480314961
CCDC132	403	0.0634645669291339	0.417448818897638
ARHGAP33	455	0.0716535433070866	0.445905511811024
