Cell Name	Cluster number	cluster_label	sample_detail	sample	cell_id	CD8_cluster	patient	response
A2_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	A2_P4_M11	CD8_G	P1	R
A4_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	A4_P3_M11	CD8_B	P1	R
A4_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	A4_P4_M11	CD8_B	P1	R
A4_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	A4_P6_M11	CD8_G	P1	R
A6_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	A6_P6_M11	CD8_B	P1	R
A7_P2_M11	5	Lymphocytes	Pre_P1	Pre_P1	A7_P2_M11	CD8_G	P1	R
A9_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	A9_P4_M11	CD8_B	P1	R
B10_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	B10_P1_M11	CD8_G	P1	R
B10_P3_M11	10	memory_T	Pre_P1	Pre_P1	B10_P3_M11	CD8_G	P1	R
B10_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B10_P6_M11	CD8_B	P1	R
B11_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	B11_P6_M11	CD8_G	P1	R
B12_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	B12_P3_M11	CD8_G	P1	R
B1_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B1_P4_M11	CD8_G	P1	R
B2_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B2_P5_M11	CD8_B	P1	R
B3_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B3_P5_M11	CD8_G	P1	R
B5_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B5_P1_M11	CD8_B	P1	R
B5_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B5_P6_M11	CD8_G	P1	R
B6_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B6_P1_M11	CD8_G	P1	R
B7_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	B7_P4_M11	CD8_G	P1	R
C10_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	C10_P6_M11	CD8_G	P1	R
C11_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C11_P4_M11	CD8_G	P1	R
C11_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	C11_P6_M11	CD8_G	P1	R
C12_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C12_P4_M11	CD8_B	P1	R
C1_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C1_P3_M11	CD8_G	P1	R
C1_P4_M11	11	Lymphocytes_cell_cycle	Pre_P1	Pre_P1	C1_P4_M11	CD8_B	P1	R
C3_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C3_P1_M11	CD8_B	P1	R
C4_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	C4_P1_M11	CD8_G	P1	R
C4_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C4_P3_M11	CD8_B	P1	R
C4_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C4_P6_M11	CD8_B	P1	R
C6_P4_M11	11	Lymphocytes_cell_cycle	Pre_P1	Pre_P1	C6_P4_M11	CD8_B	P1	R
C7_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	C7_P3_M11	CD8_G	P1	R
